,key,handstrat,participant,melody,sex,age,score,genre,proc,qommax,qommin,qomav,handdistmax,handdistmin,handdistav,zmax,zmin,distlh,distrh,melcat
116,116,4,9,32,F,31,913,vo,syn,2934.70741958,11.8321595662,2367.52226496,899.235272539,172.313540649,300.274591091,2031.04872784,765.553828356,4997.46497998,5470.23979995,16
117,117,3,1,19,M,23,465,im,syn,2841.88721231,11.8321595662,2325.56636336,1009.63412677,136.11162726,583.68774028,1956.95934992,781.043847961,5011.82170416,4912.01511533,3
118,118,1,6,21,M,37,973,jo,syn,2260.44103761,11.8321595662,1988.63924151,1157.82253337,535.007979087,983.325608082,1918.85926272,856.769849572,310.562529635,3555.29438471,5
119,119,3,28,16,F,41,662,vo,norm,2599.3925555,11.8321595662,1600.30292274,850.15301797,461.395434562,553.13682296,1804.42954218,8.33371453276,3066.80185589,7165.05601345,16
120,120,6,10,26,F,24,438,sc,syn,2064.02747361,11.8321595662,1773.37671875,642.273374051,187.046602682,358.668572774,1320.97035075,672.606039201,3560.69736883,4839.4838995,10
121,121,3,10,17,F,24,438,im,syn,2575.74153004,11.8321595662,1980.01529845,658.873770004,402.122413514,538.474965757,1820.41848641,776.697103755,2742.68564289,2904.01615117,1
122,122,1,6,13,M,37,973,vo,norm,2089.66529317,11.8321595662,1713.16190238,1059.92909806,412.44945214,748.476293024,1759.30322153,839.251269141,671.926101426,3486.89006001,13
123,123,3,10,2,F,24,438,im,norm,2310.86521214,11.8321595662,1731.15691072,1067.79336878,358.202881128,647.91822228,1538.66101459,768.631235128,3303.04656397,3388.00021832,2
124,124,3,10,16,F,24,438,vo,norm,2424.75507025,11.8321595662,2024.33681413,1043.38477258,593.774104223,940.546538512,1641.58036863,783.802969795,2521.37665146,2806.11385543,16
125,125,1,6,27,M,37,973,sc,syn,2085.08660408,11.8321595662,1791.28355086,1144.22514927,487.990740749,893.262613812,1735.80335532,850.53542122,198.333195799,2578.10543063,11
126,126,2,18,5,M,30,992,jo,norm,2057.64968092,11.8321595662,1785.68100046,944.532584496,324.908553791,702.577694611,1448.16788544,838.272193285,1452.81982357,2910.27188102,5
127,127,1,3,18,F,29,972,im,syn,2241.97002567,11.8321595662,2116.12514754,577.617106484,227.318284098,343.310815692,1616.67549022,1072.05215304,1356.0514147,2262.72728629,2
128,128,3,2,10,F,53,989,sc,norm,2302.9245606,11.8321595662,2013.45845501,588.937816555,393.6518736,492.619411882,1509.19663245,835.252657383,2523.45417235,2654.36038534,10
129,129,1,3,16,F,29,972,vo,norm,2014.2804505,11.8321595662,1700.89401437,999.591766871,542.427575413,739.140060449,1740.62807197,788.41606875,584.212802323,2394.0868556,16
130,130,3,8,5,F,20,262,jo,norm,2374.36963116,11.8321595662,1852.10505043,656.265717821,174.794076497,374.57784625,1675.89099184,803.686188934,3992.53892863,4542.91586705,5
131,131,3,3,20,F,29,972,im,syn,2509.67912716,11.8321595662,1570.97845447,780.808937776,482.98411955,584.940452487,1799.54537054,784.909978722,2601.34876504,2965.15662778,4
132,132,3,8,24,F,20,262,jo,syn,2308.95279328,11.8321595662,1849.60622761,638.360215086,281.01741568,422.686358642,1612.86237668,762.216761587,3250.09699654,3569.34761648,8
133,133,3,10,22,F,24,438,jo,syn,1859.79946591,11.8321595662,1693.70855426,607.11790007,124.774227498,452.822931336,1223.76627272,762.778714165,2104.94599739,2194.06910886,6
