Time_s   F0_Hz
4.053946   333.874555
4.063946   329.903366
4.073946   327.231989
4.083946   326.197757
4.093946   326.954738
4.103946   329.463925
4.113946   333.458872
4.123946   338.419227
4.133946   343.616843
4.143946   348.253993
4.153946   351.652860
4.163946   353.395669
4.173946   353.371330
4.183946   351.737821
4.193946   348.857516
4.203946   345.228065
4.213946   341.406830
4.223946   337.930487
4.233946   335.253074
4.243946   333.706397
4.253946   333.480665
4.263946   334.614839
4.273946   336.999214
4.283946   340.386358
4.293946   344.412405
4.303946   348.610674
4.313946   352.436172
4.323946   355.334367
4.333946   356.847975
4.343946   356.719613
4.353946   354.951234
4.363946   351.818426
4.373946   347.839236
4.383946   343.680402
4.393946   340.012098
4.403946   337.376077
4.413946   336.110304
4.423946   336.345665
4.433946   338.028668
4.443946   340.932403
4.453946   344.657290
4.463946   348.648952
4.473946   352.274405
4.483946   354.945943
4.493946   356.242296
4.503946   355.976321
4.513946   354.204530
4.523946   351.216361
4.533946   347.501909
4.543946   343.686616
4.553946   340.421738
4.563946   338.252593
4.573946   337.511546
4.583946   338.274255
4.593946   340.367696
4.603946   343.426225
4.613946   346.958682
4.623946   350.422287
4.633946   353.287029
4.643946   355.105099
4.653946   355.584404
4.663946   354.652868
4.673946   352.491264
4.683946   349.533540
4.693946   346.400940
4.703946   343.775321
4.713946   342.235830
4.723946   342.110527
4.733946   343.387999
4.743946   345.703417
4.753946   348.404003
4.763946   350.704097
4.773946   351.907952
4.783946   351.636434
4.793946   349.975174
4.803946   347.458418
4.813946   344.846613
4.823946   342.804433
4.833946   341.683155
4.843946   341.525434
4.853946   342.203697
4.863946   343.547905
4.873946   345.387126
4.883946   347.521739
4.893946   349.679396
4.903946   351.532669
4.913946   352.785524
4.923946   353.284774
4.933946   353.066477
4.943946   352.322007
4.953946   351.308514
4.963946   350.265446
4.973946   349.364780
4.983946   348.685923
4.993946   348.203936
5.003946   347.821444
5.013946   347.459239
5.023946   347.152725
5.033946   347.071518
5.043946   347.418570
5.053946   348.279345
5.063946   349.527060
5.073946   350.840346
5.083946   351.832969
5.093946   352.216611
5.103946   351.933262
5.113946   351.194855
5.123946   350.394712
5.133946   349.895744
5.143946   349.815475
5.153946   349.964573
5.163946   350.011484
5.173946   349.723071
5.183946   349.087754
5.193946   348.231406
5.203946   347.288894
5.213946   346.368120
5.223946   345.606671
5.233946   345.167785
5.243946   345.135991
5.253946   346.550856
5.263946   353.312812
5.273946   309.324347
5.283946   --undefined--
5.293946   --undefined--
