	key	handstrat	participant	melody	sex	age	score	genre	proc	qommax	qommin	qomav	handdistmax	handdistmin	handdistav	zmax	zmin	distlh	distrh
47	47	3	1	20	M	23	465	im	syn	2832.4644354855	11.8321595662	2258.0118949849	1407.9240673038	390.6313517696	970.7699871283	1974.09282404	863.010424685	6385.6599229828	5604.2744475682
48	48	4	3	12	F	29	972	sc	norm	2383.457497792	11.8321595662	1927.4548328124	418.4906262245	120.4296737118	169.8250232527	1663.14701514	814.978267626	3221.1315616102	3538.7087692456
49	49	3	18	23	M	30	992	jo	syn	2212.8948302241	11.8321595662	1823.4073606896	1043.7510667447	138.2519849618	561.4793788791	1457.29915979	801.274364862	2979.0998775293	3901.016895614
50	50	1	2	5	F	53	989	jo	norm	2028.3758804467	11.8321595662	1670.8161714982	1076.1656191469	442.170338379	772.9732428296	1720.49650418	783.601662159	846.6318354046	4021.531466089
51	51	2	18	13	M	30	992	vo	norm	2515.9586679106	11.8321595662	1914.2673322096	1209.0859462465	181.2986947138	614.0466978482	1811.49973192	808.320059019	2594.6840298883	4298.0624395455
52	52	1	20	10	F	20	499	sc	norm	2116.5701084259	11.8321595662	1855.1979077442	1182.0504510458	575.6496921759	938.3405963529	1765.46042922	798.361405415	673.5959659648	3914.8589981701
53	53	1	6	19	M	37	973	im	syn	2149.5282652151	11.8321595662	1817.5990979497	1192.162387945	496.5669077711	930.6108736135	1829.91298804	857.243110796	574.2275601543	2844.3999497548
54	54	1	20	31	F	20	499	vo	syn	1877.9248077542	11.8321595662	1763.9449441468	934.7617880227	615.8618215672	834.4955752199	1523.81780609	789.383368496	537.5550420837	1974.4850813964
55	55	1	6	24	M	37	973	jo	syn	1913.6388176669	11.8321595662	1695.739342762	910.9887423533	478.3872429854	750.2232810636	1523.81500877	859.223997693	290.6043915406	2051.8855726849
56	56	4	9	30	F	31	913	vo	syn	3226.0808668255	11.8321595662	2476.2458079473	2163.3339430591	206.3489240509	385.0940962498	2295.96831637	53.5511365069	16174.0878102336	5349.7747788543
57	57	1	6	6	M	37	973	jo	norm	2013.1619899891	11.8321595662	1688.9967715331	1028.1559035879	497.5478322623	768.9415738725	1621.5292316	838.915959214	110.9623141957	2647.595192212
58	58	3	8	25	F	20	262	sc	syn	2344.3964616542	11.8321595662	2009.2316243663	599.1552835917	220.7284017894	419.0111363605	1713.03514998	822.893127	3659.1843198995	6008.2138491321
59	59	3	8	17	F	20	262	im	syn	2194.1553362764	11.8321595662	1808.6355495086	648.8003526683	182.4651018831	359.8568407331	1508.70702546	778.439058392	3345.639287267	4520.4599572242
60	60	3	8	14	F	20	262	vo	norm	2567.6212127181	11.8321595662	2096.8098167284	1402.7767544848	191.2943803132	704.2089431767	1782.06185038	817.293326809	4745.6184520118	4889.9823713821
61	61	4	3	2	F	29	972	im	norm	2083.5563245243	11.8321595662	1922.3977342958	376.1494933475	137.2655375714	173.3705092026	1396.14914583	810.397229413	1955.0657338824	2163.7159270814
62	62	3	8	28	F	20	262	sc	syn	2393.1416605269	11.8321595662	1916.2098158043	1426.3766635589	246.962976465	577.3342430757	1679.87899673	725.626035088	4821.96230616	4755.6188754533
63	63	4	3	31	F	29	972	vo	syn	1782.0047219298	11.8321595662	1638.7613418756	513.7653201563	109.8193703151	209.866368253	1192.09969765	800.974	1695.1321517046	2029.7186725373
64	64	3	10	30	F	24	438	vo	syn	1961.3277965777	11.8321595662	1751.7913617066	537.2763394968	312.1633710556	399.6181112834	1287.12585147	791.216809853	4017.0229841363	5206.0392852974
65	65	2	18	6	M	30	992	jo	norm	1778.2511786799	11.8321595662	1603.6673359957	844.4888267009	222.6767122108	617.7761408457	1251.22177007	842.899383801	1423.2557873049	1801.0737532563
66	66	1	6	32	M	37	973	vo	syn	1852.5703282835	11.8321595662	1648.4414158454	849.1245303493	460.775010409	680.0636762317	1426.36689251	850.924712974	214.9229679599	2760.1404925775
67	67	1	6	16	M	37	973	vo	norm	2190.3226136685	11.8321595662	1700.684180298	1150.4722403058	464.7243921245	713.1565061005	1846.77051384	852.673720778	146.9124156184	2602.4228972328
68	68	1	20	12	F	20	499	sc	norm	1904.6508598069	11.8321595662	1819.6766310454	965.3954742836	604.2751630338	822.5838649005	1600.28271553	728.108044371	231.4413417123	3342.4921844755
69	69	2	28	25	F	41	662	sc	syn	2084.6532613283	11.8321595662	1687.8214635825	1610.8738422277	428.9120983341	706.2835482704	1552.96677695	-115.304569612	8770.6443425543	3412.6947715856
70	70	2	20	30	F	20	499	vo	syn	2256.6624083407	11.8321595662	2169.8286102786	867.3919055256	186.5821372737	478.6093605616	1549.90667097	796.700579996	3099.1682448208	3728.4127959863
71	71	6	9	7	F	31	913	jo	norm	1690.5065857587	11.8321595662	1523.56347954	588.1919819233	355.2179480635	498.0547546388	1186.47173092	722.663421128	2958.4104356558	3135.5835355163
72	72	2	9	15	F	31	913	vo	norm	2389.5518676755	11.8321595662	1907.3814355747	1153.3837469912	111.0163337193	588.6018524816	1806.8059407	879.669498026	3077.429311378	4505.6384851302
73	73	6	1	27	M	23	465	sc	syn	2315.9685682235	11.8321595662	2062.5733096467	1105.100595166	150.7519308703	412.0703762532	1516.38723201	972.874827433	3739.6076842896	4525.655375087
74	74	4	3	10	F	29	972	sc	norm	2383.3000011746	11.8321595662	1876.2176664968	326.946597691	102.2200201217	173.7740110574	1627.29651992	940.921991319	2288.9580063303	2091.3578824968
75	75	3	2	2	F	53	989	im	norm	2566.203150777	11.8321595662	2379.286817464	902.8863924484	437.5142267742	737.423414958	1706.97178657	1068.7748445	3187.3635841824	2995.7443623757
76	76	3	2	19	F	53	989	im	syn	2756.3507458396	11.8321595662	2050.1059156701	1096.9547320792	550.3657813327	800.8156357535	1863.34029741	822.801206168	3759.5077019543	3629.7023647445
77	77	2	8	2	F	20	262	im	norm	2392.3983591389	11.8321595662	1868.1473703923	660.566691599	248.0305491682	470.8367003111	1877.96897082	807.075083212	2050.3317222199	3283.5488829295
78	78	1	20	7	F	20	499	jo	norm	1667.6292057085	11.8321595662	1569.547920257	774.4974213632	510.3826438292	595.8804888392	1137.37968402	799.984305325	809.4011077983	2005.7001605147
79	79	1	2	1	F	53	989	im	norm	2285.6072735994	11.8321595662	2053.1802724985	406.111117008	209.5964921124	258.3632391338	1510.96730694	1142.47828359	1069.9897702867	1083.7214122099
80	80	2	18	27	M	30	992	sc	syn	2238.108217043	11.8321595662	1926.9829123641	922.4266716753	233.8820169804	537.908756043	1479.73920796	810.184042763	2153.7838645538	4071.3055188218
81	81	1	20	1	F	20	499	im	norm	1961.5786271866	11.8321595662	1757.949412862	977.0421114307	556.3096620532	779.8693249435	1578.28350233	773.245157476	506.9894429643	3494.8550352171
82	82	2	9	20	F	31	913	im	syn	2155.5872414943	11.8321595662	1756.0821850061	547.7262192876	178.437270228	357.5627063911	1516.00061802	753.170428761	1805.0197078485	3119.5811089572
83	83	1	6	22	M	37	973	jo	syn	2142.7142346813	11.8321595662	1766.142434006	1103.0898379337	536.3877127593	820.2896063803	1831.17490377	884.634262326	645.1554519108	5496.4364117737
84	84	2	18	4	M	30	992	im	norm	2155.7990607172	11.8321595662	1988.5546486579	971.3640735316	208.1901936846	716.4587383456	1522.82419253	837.273136154	1961.6447818554	2751.1743529096
85	85	3	10	23	F	24	438	jo	syn	1817.2319963918	11.8321595662	1512.2641926331	1289.3855202765	434.6452695345	686.1711896497	1176.31706991	-151.13448809	21814.8768195565	2021.1991411776
86	86	4	8	30	F	20	262	vo	syn	2455.7105350709	11.8321595662	2100.8094591975	627.0246829769	205.9651786735	385.5447061089	1680.0908408	828.782154159	4405.1103496802	5172.7090659483
87	87	3	8	22	F	20	262	jo	syn	2497.9132323603	11.8321595662	1812.0515151232	631.7873159867	253.4774435909	452.2170662788	1773.0958582	814.938933302	2665.2926163114	2904.544376857
88	88	4	9	4	F	31	913	im	norm	2186.645161432	11.8321595662	1674.73009757	829.134837019	361.1177684705	491.9048783946	1501.76263751	687.047116185	3375.4139969925	3455.9423796723
89	89	2	8	12	F	20	262	sc	norm	2250.9258477882	11.8321595662	1739.377189946	720.3053310728	367.8372756633	541.1992669497	1791.85290539	788.170384722	2907.725506823	3900.1252541573
90	90	1	20	20	F	20	499	im	syn	1810.8532700459	11.8321595662	1717.2101496901	953.3930069129	603.2643135338	826.3873916034	1425.49371914	746.75991294	441.0708524247	2747.9587855697
91	91	1	18	15	M	30	992	vo	norm	2342.060299367	11.8321595662	1925.8143778279	1199.0503602789	143.3285481743	888.5375084026	1821.3516564	809.509880752	1965.4656855846	4284.2045847561
92	92	1	6	15	M	37	973	vo	norm	2355.9978715834	11.8321595662	1985.1151724495	1300.5351773933	520.0995194741	1003.2136197502	2122.13835279	852.025380687	536.7066025418	3981.1442486924
93	93	2	20	14	F	20	499	vo	norm	1970.0383726592	11.8321595662	1894.3787631655	642.9921654111	154.4578091709	329.6529243827	1415.01281324	966.955353967	1442.9145376924	1916.6359215878
94	94	4	9	18	F	31	913	im	syn	2093.7504521668	11.8321595662	1961.2592213008	390.649173918	164.6767761241	265.8664407019	1446.35949683	922.551336248	3964.394203286	4574.6380112821
